ProductName,star,Ratings,Reviews,Current_Price,mrp,Processor,RAM,OS,Storage,ScreenSize
ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.8,13,0,₹89990,₹115990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display
ASUS VivoBook 14 (2021) Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB712WS Thi...,4.4,55,7,₹39990,₹57990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,32 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display
ASUS Ryzen 3 Dual Core 3250U 3rd Gen - (8 GB/256 GB SSD/Windows 10 Home) M515DA-BQ322TS Thin and Light...,4.3,3440,452,₹32990,₹46990,AMD Ryzen 3 Dual Core Processor (3rd Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display
Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,5,5,0,₹69990,₹112990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,4.3,593,75,₹47990,₹68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 165...,4.5,7315,799,₹59990,₹74841,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
ASUS VivoBook K15 OLED Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L712WS Thi...,4.3,384,61,₹62990,₹86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,4.5,3736,487,₹52990,₹89999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,4.3,352,36,₹52990,₹70990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,0,0,0,₹37990,₹52990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
HP 247 G8 Ryzen 3 Quad Core - (8 GB/512 GB SSD/DOS) 6B5R3PA#ACJ Notebook,0,0,0,₹29490,₹40486,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,DOS Operating System,512 GB SSD,35.56 cm (14 inch) Display
Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,4.3,398,41,₹36990,₹61490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,4.2,1499,150,₹38990,₹59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
HP 250 G8 Core i3 11th Gen - (8 GB/512 GB SSD/DOS) 250 G8 Notebook,4,4,2,₹35490,₹44304,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,DOS Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light ...,4.1,660,59,₹29990,₹40490,Intel Celeron Dual Core Processor (4th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display
RedmiBook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop,4.2,1480,191,₹32990,₹51990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 10 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,4.3,870,110,₹49290,₹57042,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop,4.2,2314,305,₹42990,₹59990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
acer Aspire 3 Athlon Dual Core 3020e - (8 GB/256 GB SSD/Windows 11 Home) A314-22 Notebook,4.1,9,0,₹29990,₹36999,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display
Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light...,4.3,559,123,₹24990,₹39990,Intel Celeron Quad Core Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display
ASUS Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X712EA-AU511WS Laptop,3.7,7,2,₹51990,₹85990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,43.94 cm (17.3 inch) Display
DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,4.2,383,28,₹33290,₹46263,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB...,4.5,88,21,₹55990,₹71990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,43.94 cm (17.3 Inch) Display
ASUS VivoBook Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X415EA-EK342WS Thin and Light Lapto...,4.3,333,36,₹33990,₹50990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 Inch) Display
ASUS Vivobook 15 Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M515DA-BQ722WS La...,4.5,109,13,₹46990,₹74990,AMD Ryzen 7 Quad Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq5010TU Thin and Light Laptop,4.3,77,12,₹57990,₹68465,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,4.4,8103,1289,₹36999,₹54999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display
acer Extensa Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) EX 215-54 Thin and Light Laptop,4.5,23,5,₹33990,₹39999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ322WS Thin and L...,4.3,2445,291,₹34990,₹50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,4.2,171,25,₹24990,₹33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display
HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq4022TU Thin and Light Laptop,4.2,111,7,₹51999,₹63020,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
